"collection_no","lng","lat"
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21166,125.949997,-8.816667
21179,125.949997,-8.8
21179,125.949997,-8.8
21180,125.949997,-8.8
21180,125.949997,-8.8
21180,125.949997,-8.8
21180,125.949997,-8.8
21180,125.949997,-8.8
21180,125.949997,-8.8
21181,125.95417,-8.816667
21181,125.95417,-8.816667
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21182,125.949997,-8.811111
21183,125.566666,-8.95
21183,125.566666,-8.95
21183,125.566666,-8.95
21183,125.566666,-8.95
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22963,13.166667,47.700001
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22994,-121.783333,53.083332
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
22995,14.333333,47.633331
